Event,,Lat ( ° ),Lon ( ° ),Depth (km),Local Magnitude,Moment magnitude,Seismic moment (Nm),No. EGF,P-wave measurements,,,S-wave measurements,,
,,,,,,,,,Stations,Corner frequecy (Hz), Stress Drop (MPa),Stations, Corner frequecy (Hz),Stress Drops (MPa)
,20110329201525,-43.576,170.01,9.2,2.4,,3.98E+12,15,,,,8,19.2,16.5
,20110407191440,-43.411,170.484,10.6,2.3,,2.82E+12,26,7,30.2,24.5,7,19.3,12.0
,20110515194201,-43.526,170.129,6.9,2.0,,1.00E+12,64,9,34.8,13.3,10,33.9,23.1
,20110518061944,-43.294,170.804,11.4,2.2,,2.00E+12,36,,,,4,21.4,11.6
,20110518111123,-43.294,170.808,11.7,3.2,,6.31E+13,90,7,40.3,1305.2,,,
,20110522195844,-43.296,170.81,11.4,2.2,,2.00E+12,40,6,32.9,22.6,6,31.0,35.1
,20110525144351,-43.316,170.801,15.7,3.2,,6.31E+13,54,7,15.6,75.6,7,11.1,50.6
,20110525144558,-43.315,170.801,15.3,2.4,,3.98E+12,26,6,19.3,9.1,7,18.9,15.9
,20110525150212,-43.318,170.798,15.5,2.6,,7.94E+12,29,6,21.4,24.7,7,17.8,26.3
,20110526045423,-43.317,170.807,15.2,2.5,,5.62E+12,26,7,20.3,14.9,,,
,20110526045558,-43.315,170.803,15.6,4.0,,1.00E+15,65,7,6.1,73.1,,,
,20110529061523,-43.295,170.809,11.9,2.4,,3.98E+12,49,4,17.3,6.6,5,17.5,12.5
,20110624110645,-43.378,170.236,7.4,2.2,,2.00E+12,7,,,,7,27.8,25.2
,20110629074345,-43.493,170.269,10.1,4.2,,2.00E+15,109,3,7.3,245.1,7,7.0,409.2
,20110712230522,-43.471,170.303,5.2,2.1,,1.41E+12,188,4,81.3,240.5,6,67.1,252.3
,20110730144440,-43.308,170.828,13.4,2.6,,7.94E+12,50,5,27.7,53.7,5,23.0,56.9
,20110806135157,-43.525,170.264,6.4,2.1,,1.41E+12,95,6,47.9,49.2,,,
,20110808173417,-43.313,170.525,15.4,2.3,,2.82E+12,5,6,32.9,31.7,6,32.9,59.0
,20110809050531,-43.41,170.486,11.1,2.5,,5.62E+12,32,6,16.5,8.0,6,12.6,6.6
,20110817205311,-43.293,170.811,11.2,3.2,,6.31E+13,92,5,12.5,38.6,5,17.6,202.2
,20110823024944,-43.502,170.257,4.0,2.6,,7.94E+12,313,6,22.5,28.6,7,28.5,108.7
,20110925101658,-43.485,170.283,7.7,2.9,,2.24E+13,208,4,21.5,70.0,,,
,20111108162925,-43.482,170.32,5.2,2.1,,1.41E+12,231,,,,10,53.4,126.7
,20111212010058,-43.319,170.81,15.9,2.5,,5.62E+12,23,5,14.8,5.7,7,13.2,7.6
,20111219175937,-43.494,170.325,6.4,2.1,,1.41E+12,262,,,,9,23.8,11.2
,20120106004732,-43.411,170.482,6.9,3.2,,6.31E+13,44,9,26.3,362.6,10,24.6,552.5
,20120510162115,-43.47,170.088,7.2,2.5,,5.62E+12,49,7,39.7,111.5,11,34.5,136.6
,20120516070424,-43.476,170.079,8.5,2.6,,7.94E+12,98,8,20.4,21.2,,,
,20120610061120,-43.48,170.339,6.0,2.1,,1.41E+12,214,7,60.3,98.0,,,
,20120612080651,-43.272,170.77,6.8,2.6,,7.94E+12,13,4,33.8,97.2,3,33.8,181.6
