id,qlat,qlon,qyr,qmon,qdy,qhr,qmn,qsc,ml,qdep,name
925,-42.665,171.952,2019,12,01,19,07,46,0.9598889305029199,11.3,20191201190746
926,-42.899,171.857,2019,09,21,11,18,51,0.7942871122507158,8.7,20190921111851
927,-42.687,171.368,2019,09,23,02,18,10,1.1989041831421685,15.5,20190923021810
928,-42.71,171.381,2019,09,24,09,25,58,1.0132253972992868,15.8,20190924092558
929,-42.752,171.793,2019,06,29,19,28,38,0.5107308161313986,8.5,20190629192838
930,-42.654,171.908,2019,11,21,15,02,35,0.7240718269189225,6.9,20191121150235
931,-42.884,171.793,2020,01,25,11,38,40,1.5179889757907612,12.2,20200125113840
932,-42.988,171.693,2019,11,17,16,32,40,1.225304035899736,15.9,20191117163240
933,-42.698,171.742,2019,06,14,04,51,14,0.2910139663045593,8.8,20190614045114
934,-42.755,171.812,2020,01,22,04,17,42,0.6809995912929037,8.3,20200122041742
935,-42.81,171.669,2019,09,21,09,29,45,0.6937856181973097,8.3,20190921092945
936,-42.69,171.879,2019,12,25,10,42,49,0.6537819947144407,10.4,20191225104249
937,-42.622,171.847,2019,07,10,05,11,47,0.887173212256523,11.3,20190710051147
938,-42.869,171.629,2019,08,07,13,36,03,0.7644924925654119,7.6,20190807133603
939,-42.879,171.75,2019,06,23,07,14,59,0.6770917215216381,9.5,20190623071459
940,-42.833,171.647,2019,10,30,04,51,45,0.6133875744189287,7.3,20191030045145
941,-42.777,171.684,2020,02,04,17,48,58,0.7380612946496664,9.0,20200204174858
942,-42.719,171.834,2019,06,07,17,35,05,0.3629577748161341,5.4,20190607173505
943,-42.922,171.917,2019,11,04,06,59,43,1.8528895072155156,13.3,20191104065943
944,-42.74,171.712,2020,01,04,12,23,04,0.3332068667279204,9.3,20200104122304
945,-42.903,171.429,2019,07,26,05,45,48,0.41449930905232585,7.7,20190726054548
946,-42.594,171.894,2019,06,15,01,42,31,0.10222390180362297,3.6,20190615014231
947,-42.926,171.563,2019,09,15,09,35,24,0.6994426593392173,10.3,20190915093524
948,-42.786,171.924,2020,01,19,06,50,44,0.6416560718242287,8.6,20200119065044
949,-42.753,171.984,2019,08,04,02,36,17,1.0343331520940895,9.1,20190804023617
950,-42.868,171.629,2020,02,02,19,48,33,0.8251299664994833,8.7,20200202194833
951,-42.738,171.776,2019,07,02,15,57,10,1.1727658074318628,6.7,20190702155710
952,-42.759,171.745,2019,07,01,09,45,45,0.5715434668664304,9.5,20190701094545
953,-42.711,171.763,2019,06,01,05,51,06,0.33791601576052316,10.3,20190601055106
954,-42.776,171.673,2019,05,03,07,26,57,0.2813457072882451,8.9,20190503072657
955,-42.785,171.646,2019,10,22,10,15,12,0.3095989937548513,7.0,20191022101512
956,-42.755,171.744,2019,11,17,06,24,49,0.9995153316193488,8.7,20191117062449
957,-42.805,171.609,2020,01,19,20,14,05,0.6990192809993042,9.3,20200119201405
958,-42.786,171.615,2019,10,13,04,47,36,0.24898020762441023,8.9,20191013044736
